Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Phase Zombie,Burroughs Rift,Brie String,Brie String,,,,,5.52%,6468,,,
Prototype,Burroughs Rift,Brie String,Brie String,,,,,2.94%,3441,,,
Revenant,Burroughs Rift,Brie String,Brie String,,,,,11.86%,13905,,,
Rift Bio Engineer,Burroughs Rift,Brie String,Brie String,,,,,3.03%,3547,,,
Robat,Burroughs Rift,Brie String,Brie String,,,,,3.85%,4508,,,
Surgeon Bot,Burroughs Rift,Brie String,Brie String,,,,,4.48%,5255,,,
Tech Ravenous Zombie,Burroughs Rift,Brie String,Brie String,,,,,7.60%,8906,,,
Zombot Unipire the Third,Burroughs Rift,Brie String,Brie String,,,,,9.71%,11378,,,
Big Bad Behemoth Burroughs,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,11.22%,57281,Big Bad Behemoth Burroughs,Burroughs Rift  Terre Ricotta    ,11.22%
Boulder Biter,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,20.76%,105969,Boulder Biter,Burroughs Rift  Terre Ricotta    ,20.76%
Clump,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,8.79%,44851,Clump,Burroughs Rift  Terre Ricotta    ,8.79%
Cyber Miner,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,9.81%,50066,Cyber Miner,Burroughs Rift  Terre Ricotta    ,9.81%
Itty Bitty Rifty Burroughs,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,6.80%,34726,Itty Bitty Rifty Burroughs,Burroughs Rift  Terre Ricotta    ,6.80%
Lambent,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,12.40%,63263,Lambent,Burroughs Rift  Terre Ricotta    ,12.40%
Master Exploder,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,16.53%,84373,Master Exploder,Burroughs Rift  Terre Ricotta    ,16.53%
Pneumatic Dirt Displacement,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,5.84%,29813,Pneumatic Dirt Displacement,Burroughs Rift  Terre Ricotta    ,5.84%
Rifterranian,Burroughs Rift,Terre Ricotta,Terre Ricotta,,,,,7.84%,39986,Rifterranian,Burroughs Rift  Terre Ricotta    ,7.84%
Assassin Beast,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,20.51%,37624,Assassin Beast,Burroughs Rift  Polluted Parmesan    ,20.51%
Mecha Tail,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,2.34%,4285,Mecha Tail,Burroughs Rift  Polluted Parmesan    ,2.34%
Plutonium Tentacle,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,20.58%,37748,Plutonium Tentacle,Burroughs Rift  Polluted Parmesan    ,20.58%
Radioactive Ooze,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,2.41%,4415,Radioactive Ooze,Burroughs Rift  Polluted Parmesan    ,2.41%
Rancid Bog Beast,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,11.32%,20752,Rancid Bog Beast,Burroughs Rift  Polluted Parmesan    ,11.32%
Super Mega Mecha Ultra RoboGold,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,11.68%,21430,Super Mega Mecha Ultra RoboGold,Burroughs Rift  Polluted Parmesan    ,11.68%
The Menace of the Rift,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,16.31%,29909,The Menace of the Rift,Burroughs Rift  Polluted Parmesan    ,16.31%
Toxic Avenger,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,11.44%,20988,Toxic Avenger,Burroughs Rift  Polluted Parmesan    ,11.44%
Toxikinetic,Burroughs Rift,Polluted Parmesan,Polluted Parmesan,,,,,3.41%,6250,Toxikinetic,Burroughs Rift  Polluted Parmesan    ,3.41%
Frog,Calm Clearing,Gouda/Brie,,,,,,14.68%,1237,Frog,Calm Clearing      ,14.68%
Sylvan,Calm Clearing,Gouda/Brie,,,,,,13.87%,1169,Sylvan,Calm Clearing      ,13.87%
Chameleon,Calm Clearing,Gouda/Brie,,,,,,13.28%,1119,Chameleon,Calm Clearing      ,13.28%
Bear,Calm Clearing,Gouda/Brie,,,,,,11.75%,990,Bear,Calm Clearing      ,11.75%
Moosker,Calm Clearing,Gouda/Brie,,,,,,8.91%,751,Moosker,Calm Clearing      ,8.91%
Shaman,Calm Clearing,Gouda/Brie,,,,,,8.93%,753,Shaman,Calm Clearing      ,8.93%
Wiggler,Calm Clearing,Gouda/Brie,,,,,,9.02%,760,Wiggler,Calm Clearing      ,9.02%
Treant,Calm Clearing,Gouda/Brie,,,,,,7.50%,632,Treant,Calm Clearing      ,7.50%
Dwarf,Calm Clearing,Gouda/Brie,,,,,,5.99%,505,Dwarf,Calm Clearing      ,5.99%
Elven Princess,Calm Clearing,Gouda/Brie,,,,,,3.13%,264,Elven Princess,Calm Clearing      ,3.13%
Cyclops,Calm Clearing,Gouda/Brie,,,,,,2.30%,194,Cyclops,Calm Clearing      ,2.30%
Eagle Owl,Calm Clearing,Gouda/Brie,,,,,,0.65%,55,Eagle Owl,Calm Clearing      ,0.65%
Chameleon,Calm Clearing,Cherry,Cherry,,,,,24.38%,11256,Chameleon,Calm Clearing  Cherry    ,24.38%
Bear,Calm Clearing,Cherry,Cherry,,,,,22.18%,10238,Bear,Calm Clearing  Cherry    ,22.18%
Shaman,Calm Clearing,Cherry,Cherry,,,,,17.42%,8040,Shaman,Calm Clearing  Cherry    ,17.42%
Cherry,Calm Clearing,Cherry,Cherry,,,,,14.94%,6897,Cherry,Calm Clearing  Cherry    ,14.94%
Treant,Calm Clearing,Cherry,Cherry,,,,,14.81%,6837,Treant,Calm Clearing  Cherry    ,14.81%
Cyclops,Calm Clearing,Cherry,Cherry,,,,,4.91%,2268,Cyclops,Calm Clearing  Cherry    ,4.91%
Eagle Owl,Calm Clearing,Cherry,Cherry,,,,,1.36%,629,Eagle Owl,Calm Clearing  Cherry    ,1.36%
Frog,Calm Clearing,SB+,SB+,,,,,14.71%,1368,Frog,Calm Clearing  SB+    ,14.71%
Sylvan,Calm Clearing,SB+,SB+,,,,,13.01%,1210,Sylvan,Calm Clearing  SB+    ,13.01%
Chameleon,Calm Clearing,SB+,SB+,,,,,12.40%,1153,Chameleon,Calm Clearing  SB+    ,12.40%
Bear,Calm Clearing,SB+,SB+,,,,,10.76%,1001,Bear,Calm Clearing  SB+    ,10.76%
Wiggler,Calm Clearing,SB+,SB+,,,,,9.25%,860,Wiggler,Calm Clearing  SB+    ,9.25%
Moosker,Calm Clearing,SB+,SB+,,,,,9.40%,874,Moosker,Calm Clearing  SB+    ,9.40%
Shaman,Calm Clearing,SB+,SB+,,,,,8.34%,776,Shaman,Calm Clearing  SB+    ,8.34%
Treant,Calm Clearing,SB+,SB+,,,,,7.01%,652,Treant,Calm Clearing  SB+    ,7.01%
