Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Dwarf,Calm Clearing,SB+,SB+,,,,,5.67%,527,Dwarf,Calm Clearing  SB+    ,5.67%
Cyclops,Calm Clearing,SB+,SB+,,,,,4.58%,426,Cyclops,Calm Clearing  SB+    ,4.58%
Elven Princess,Calm Clearing,SB+,SB+,,,,,2.91%,271,Elven Princess,Calm Clearing  SB+    ,2.91%
Eagle Owl,Calm Clearing,SB+,SB+,,,,,0.69%,64,Eagle Owl,Calm Clearing  SB+    ,0.69%
Black Widow,Calm Clearing,SB+,SB+,,,,,0.66%,61,Black Widow,Calm Clearing  SB+    ,0.66%
Foxy,Calm Clearing,SB+,SB+,,,,,0.60%,56,Foxy,Calm Clearing  SB+    ,0.60%
Alchemist,Cape Clawed,Gouda/Brie,,,,,,10.87%,931,Alchemist,Cape Clawed      ,10.87%
Pathfinder,Cape Clawed,Gouda/Brie,,,,,,10.72%,918,Pathfinder,Cape Clawed      ,10.72%
Healer,Cape Clawed,Gouda/Brie,,,,,,9.93%,850,Healer,Cape Clawed      ,9.93%
Wordsmith,Cape Clawed,Gouda/Brie,,,,,,10.36%,887,Wordsmith,Cape Clawed      ,10.36%
Narrator,Cape Clawed,Gouda/Brie,,,,,,9.98%,854,Narrator,Cape Clawed      ,9.98%
Taleweaver,Cape Clawed,Gouda/Brie,,,,,,9.18%,786,Taleweaver,Cape Clawed      ,9.18%
Scout,Cape Clawed,Gouda/Brie,,,,,,10.05%,860,Scout,Cape Clawed      ,10.05%
Caretaker,Cape Clawed,Gouda/Brie,,,,,,9.58%,820,Caretaker,Cape Clawed      ,9.58%
Trailblazer,Cape Clawed,Gouda/Brie,,,,,,9.47%,811,Trailblazer,Cape Clawed      ,9.47%
Sylvan,Cape Clawed,Gouda/Brie,,,,,,2.55%,218,Sylvan,Cape Clawed      ,2.55%
Pinchy,Cape Clawed,Gouda/Brie,,,,,,2.49%,213,Pinchy,Cape Clawed      ,2.49%
Shipwrecked,Cape Clawed,Gouda/Brie,,,,,,2.41%,206,Shipwrecked,Cape Clawed      ,2.41%
Chameleon,Cape Clawed,Gouda/Brie,,,,,,2.42%,207,Chameleon,Cape Clawed      ,2.42%
Aged,Cape Clawed,Crunchy,Crunchy,,,,,32.81%,6857,Aged,Cape Clawed  Crunchy    ,32.81%
Trailblazer,Cape Clawed,Crunchy,Crunchy,,,,,21.63%,4520,Trailblazer,Cape Clawed  Crunchy    ,21.63%
Wordsmith,Cape Clawed,Crunchy,Crunchy,,,,,22.18%,4635,Wordsmith,Cape Clawed  Crunchy    ,22.18%
Healer,Cape Clawed,Crunchy,Crunchy,,,,,22.10%,4618,Healer,Cape Clawed  Crunchy    ,22.10%
Sylvan,Cape Clawed,Crunchy,Crunchy,,,,,1.29%,269,Sylvan,Cape Clawed  Crunchy    ,1.29%
Grandfather,Cape Clawed,Gumbo,Gumbo,,,,,33.50%,2153,Grandfather,Cape Clawed  Gumbo    ,33.50%
Caretaker,Cape Clawed,Gumbo,Gumbo,,,,,22.17%,1425,Caretaker,Cape Clawed  Gumbo    ,22.17%
Pathfinder,Cape Clawed,Gumbo,Gumbo,,,,,21.91%,1408,Pathfinder,Cape Clawed  Gumbo    ,21.91%
Narrator,Cape Clawed,Gumbo,Gumbo,,,,,21.24%,1365,Narrator,Cape Clawed  Gumbo    ,21.24%
Chameleon,Cape Clawed,Gumbo,Gumbo,,,,,1.18%,76,Chameleon,Cape Clawed  Gumbo    ,1.18%
Elder,Cape Clawed,Shell,Shell,,,,,36.75%,2155,Elder,Cape Clawed  Shell    ,36.75%
Taleweaver,Cape Clawed,Shell,Shell,,,,,24.40%,1431,Taleweaver,Cape Clawed  Shell    ,24.40%
Alchemist,Cape Clawed,Shell,Shell,,,,,18.79%,1102,Alchemist,Cape Clawed  Shell    ,18.79%
Scout,Cape Clawed,Shell,Shell,,,,,18.49%,1084,Scout,Cape Clawed  Shell    ,18.49%
Pinchy,Cape Clawed,Shell,Shell,,,,,1.57%,92,Pinchy,Cape Clawed  Shell    ,1.57%
Sylvan,Cape Clawed,SB+,SB+,,,,,7.52%,233,Sylvan,Cape Clawed  SB+    ,7.52%
Taleweaver,Cape Clawed,SB+,SB+,,,,,7.84%,243,Taleweaver,Cape Clawed  SB+    ,7.84%
Wordsmith,Cape Clawed,SB+,SB+,,,,,7.42%,230,Wordsmith,Cape Clawed  SB+    ,7.42%
Alchemist,Cape Clawed,SB+,SB+,,,,,8.04%,249,Alchemist,Cape Clawed  SB+    ,8.04%
Caretaker,Cape Clawed,SB+,SB+,,,,,7.75%,240,Caretaker,Cape Clawed  SB+    ,7.75%
Chameleon,Cape Clawed,SB+,SB+,,,,,7.46%,231,Chameleon,Cape Clawed  SB+    ,7.46%
Narrator,Cape Clawed,SB+,SB+,,,,,7.97%,247,Narrator,Cape Clawed  SB+    ,7.97%
Trailblazer,Cape Clawed,SB+,SB+,,,,,7.65%,237,Trailblazer,Cape Clawed  SB+    ,7.65%
Scout,Cape Clawed,SB+,SB+,,,,,7.00%,217,Scout,Cape Clawed  SB+    ,7.00%
Shipwrecked,Cape Clawed,SB+,SB+,,,,,7.26%,225,Shipwrecked,Cape Clawed  SB+    ,7.26%
Healer,Cape Clawed,SB+,SB+,,,,,7.42%,230,Healer,Cape Clawed  SB+    ,7.42%
Pathfinder,Cape Clawed,SB+,SB+,,,,,7.20%,223,Pathfinder,Cape Clawed  SB+    ,7.20%
Pinchy,Cape Clawed,SB+,SB+,,,,,8.01%,248,Pinchy,Cape Clawed  SB+    ,8.01%
Nibbler,Cape Clawed,SB+,SB+,,,,,1.45%,45,Nibbler,Cape Clawed  SB+    ,1.45%
Skeleton,Catacombs,Ancient,Ancient,Not Antiskele,,,,17.05%,22370,Skeleton,Catacombs  Ancient    ,17.05%
Ooze,Catacombs,Ancient,Ancient,Not Antiskele,,,,14.12%,18517,Ooze,Catacombs  Ancient    ,14.12%
Spider,Catacombs,Ancient,Ancient,Not Antiskele,,,,14.18%,18599,Spider,Catacombs  Ancient    ,14.18%
Keeper's Assistant,Catacombs,Ancient,Ancient,Not Antiskele,,,,12.66%,16605,Keeper's Assistant,Catacombs  Ancient    ,12.66%
Scavenger,Catacombs,Ancient,Ancient,Not Antiskele,,,,12.53%,16435,Scavenger,Catacombs  Ancient    ,12.53%
Keeper,Catacombs,Ancient,Ancient,Not Antiskele,,,,11.97%,15697,Keeper,Catacombs  Ancient    ,11.97%
Terror Knight,Catacombs,Ancient,Ancient,Not Antiskele,,,,7.02%,9210,Terror Knight,Catacombs  Ancient    ,7.02%
Vampire,Catacombs,Ancient,Ancient,Not Antiskele,,,,6.25%,8198,Vampire,Catacombs  Ancient    ,6.25%
Golem,Catacombs,Ancient,Ancient,Not Antiskele,,,,4.22%,5536,Golem,Catacombs  Ancient    ,4.22%
Spider,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,17.52%,8322,Spider,Catacombs  Ancient  Antiskele  ,17.52%
Ooze,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,17.51%,8317,Ooze,Catacombs  Ancient  Antiskele  ,17.51%
Scavenger,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,15.66%,7435,Scavenger,Catacombs  Ancient  Antiskele  ,15.66%
Keeper's Assistant,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,15.60%,7409,Keeper's Assistant,Catacombs  Ancient  Antiskele  ,15.60%
Keeper,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,14.28%,6782,Keeper,Catacombs  Ancient  Antiskele  ,14.28%
Terror Knight,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,8.81%,4185,Terror Knight,Catacombs  Ancient  Antiskele  ,8.81%
Golem,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,5.38%,2555,Golem,Catacombs  Ancient  Antiskele  ,5.38%
Vampire,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,5.23%,2486,Vampire,Catacombs  Ancient  Antiskele  ,5.23%
Skeleton,Catacombs,Ancient,Ancient,Antiskele,Antiskele,,,0.00%,0,,,
Mummy,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,18.21%,212,Mummy,Catacombs  Undead Emmental    ,18.21%
Ghost,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,16.07%,187,Ghost,Catacombs  Undead Emmental    ,16.07%
Zombot Unipire,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,8.76%,102,Zombot Unipire,Catacombs  Undead Emmental    ,8.76%
Vampire,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,12.37%,144,Vampire,Catacombs  Undead Emmental    ,12.37%
Terror Knight,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,9.11%,106,Terror Knight,Catacombs  Undead Emmental    ,9.11%
Skeleton,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,9.79%,114,Skeleton,Catacombs  Undead Emmental    ,9.79%
Ravenous Zombie,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,7.30%,85,Ravenous Zombie,Catacombs  Undead Emmental    ,7.30%
Grave Robber,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,11.17%,130,Grave Robber,Catacombs  Undead Emmental    ,11.17%
Gluttonous Zombie,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,2.84%,33,Gluttonous Zombie,Catacombs  Undead Emmental    ,2.84%
Zombie,Catacombs,Undead Emmental,Undead Emmental,Not Antiskele,,,,4.38%,51,Zombie,Catacombs  Undead Emmental    ,4.38%
Mummy,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,22.73%,120,Mummy,Catacombs  Undead Emmental  Antiskele  ,22.73%
Ghost,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,17.99%,95,Ghost,Catacombs  Undead Emmental  Antiskele  ,17.99%
Zombot Unipire,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,10.04%,53,Zombot Unipire,Catacombs  Undead Emmental  Antiskele  ,10.04%
Vampire,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,14.39%,76,Vampire,Catacombs  Undead Emmental  Antiskele  ,14.39%
Terror Knight,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,9.66%,51,Terror Knight,Catacombs  Undead Emmental  Antiskele  ,9.66%
Ravenous Zombie,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,7.01%,37,Ravenous Zombie,Catacombs  Undead Emmental  Antiskele  ,7.01%
Grave Robber,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,11.17%,59,Grave Robber,Catacombs  Undead Emmental  Antiskele  ,11.17%
Zombie,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,3.79%,20,Zombie,Catacombs  Undead Emmental  Antiskele  ,3.79%
Gluttonous Zombie,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,3.22%,17,Gluttonous Zombie,Catacombs  Undead Emmental  Antiskele  ,3.22%
Skeleton,Catacombs,Undead Emmental,Undead Emmental,Antiskele,Antiskele,,,0.00%,0,,,
Lycan,Catacombs,Moon,Moon,,,,,45.34%,1489,Lycan,Catacombs  Moon    ,45.34%
Scavenger,Catacombs,Moon,Moon,,,,,18.00%,591,Scavenger,Catacombs  Moon    ,18.00%
Ghost,Catacombs,Moon,Moon,,,,,12.61%,414,Ghost,Catacombs  Moon    ,12.61%
Zombie,Catacombs,Moon,Moon,,,,,7.73%,254,Zombie,Catacombs  Moon    ,7.73%
Mummy,Catacombs,Moon,Moon,,,,,6.97%,229,Mummy,Catacombs  Moon    ,6.97%
Bat,Catacombs,Moon,Moon,,,,,5.30%,174,Bat,Catacombs  Moon    ,5.30%
Vampire,Catacombs,Moon,Moon,,,,,4.05%,133,Vampire,Catacombs  Moon    ,4.05%
Skeleton,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,16.13%,79759,Skeleton,Catacombs  Radioactive Blue    ,16.13%
Ghost,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,14.30%,70744,Ghost,Catacombs  Radioactive Blue    ,14.30%
Spider,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,9.00%,44527,Spider,Catacombs  Radioactive Blue    ,9.00%
Ooze,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,8.86%,43837,Ooze,Catacombs  Radioactive Blue    ,8.86%
Scavenger,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,8.04%,39740,Scavenger,Catacombs  Radioactive Blue    ,8.04%
Keeper's Assistant,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,8.05%,39817,Keeper's Assistant,Catacombs  Radioactive Blue    ,8.05%
Giant Snail,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,7.14%,35325,Giant Snail,Catacombs  Radioactive Blue    ,7.14%
Mummy,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,6.22%,30784,Mummy,Catacombs  Radioactive Blue    ,6.22%
Terror Knight,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,4.51%,22326,Terror Knight,Catacombs  Radioactive Blue    ,4.51%
Vampire,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,4.45%,22023,Vampire,Catacombs  Radioactive Blue    ,4.45%
Zombie,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,3.64%,18007,Zombie,Catacombs  Radioactive Blue    ,3.64%
Bat,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,3.57%,17632,Bat,Catacombs  Radioactive Blue    ,3.57%
Golem,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,2.77%,13705,Golem,Catacombs  Radioactive Blue    ,2.77%
Keeper,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,1.82%,9011,Keeper,Catacombs  Radioactive Blue    ,1.82%
Lycan,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,0.91%,4516,Lycan,Catacombs  Radioactive Blue    ,0.91%
Monster,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,0.46%,2251,Monster,Catacombs  Radioactive Blue    ,0.46%
Black Widow,Catacombs,Radioactive Blue,Radioactive Blue,Not Antiskele,,,,0.11%,544,Black Widow,Catacombs  Radioactive Blue    ,0.11%
Ghost,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,17.09%,1490,Ghost,Catacombs  Radioactive Blue  Antiskele  ,17.09%
Spider,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,10.46%,912,Spider,Catacombs  Radioactive Blue  Antiskele  ,10.46%
Ooze,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,10.40%,907,Ooze,Catacombs  Radioactive Blue  Antiskele  ,10.40%
Giant Snail,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,8.86%,772,Giant Snail,Catacombs  Radioactive Blue  Antiskele  ,8.86%
Keeper's Assistant,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,9.17%,799,Keeper's Assistant,Catacombs  Radioactive Blue  Antiskele  ,9.17%
Mummy,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,7.57%,660,Mummy,Catacombs  Radioactive Blue  Antiskele  ,7.57%
Scavenger,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,9.65%,841,Scavenger,Catacombs  Radioactive Blue  Antiskele  ,9.65%
Terror Knight,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,5.46%,476,Terror Knight,Catacombs  Radioactive Blue  Antiskele  ,5.46%
Vampire,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,5.83%,508,Vampire,Catacombs  Radioactive Blue  Antiskele  ,5.83%
Golem,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,3.22%,281,Golem,Catacombs  Radioactive Blue  Antiskele  ,3.22%
Zombie,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,4.66%,406,Zombie,Catacombs  Radioactive Blue  Antiskele  ,4.66%
Bat,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,3.98%,347,Bat,Catacombs  Radioactive Blue  Antiskele  ,3.98%
Keeper,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,2.18%,190,Keeper,Catacombs  Radioactive Blue  Antiskele  ,2.18%
Lycan,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,1.00%,87,Lycan,Catacombs  Radioactive Blue  Antiskele  ,1.00%
Black Widow,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,0.11%,10,Black Widow,Catacombs  Radioactive Blue  Antiskele  ,0.11%
Monster,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,0.36%,31,Monster,Catacombs  Radioactive Blue  Antiskele  ,0.36%
Skeleton,Catacombs,Radioactive Blue,Radioactive Blue,Antiskele,Antiskele,,,0.00%,,,,
Shopkeeper,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,14.28%,113788,Shopkeeper,Claw Shot City    Prospector  ,14.28%
Tumbleweed,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,14.27%,113683,Tumbleweed,Claw Shot City    Prospector  ,14.27%
Lasso Cowgirl,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,14.26%,113656,Lasso Cowgirl,Claw Shot City    Prospector  ,14.26%
Saloon Gal,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,14.24%,113501,Saloon Gal,Claw Shot City    Prospector  ,14.24%
Prospector,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,14.24%,113500,Prospector,Claw Shot City    Prospector  ,14.24%
Ruffian,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,14.22%,113349,Ruffian,Claw Shot City    Prospector  ,14.22%
Bounty Hunter,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,3.51%,27962,Bounty Hunter,Claw Shot City    Prospector  ,3.51%
Parlour Player,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,1.47%,11747,Parlour Player,Claw Shot City    Prospector  ,1.47%
Upper Class Lady,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,1.22%,9725,Upper Class Lady,Claw Shot City    Prospector  ,1.22%
Stuffy Banker,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,1.13%,9021,Stuffy Banker,Claw Shot City    Prospector  ,1.13%
Tonic Salesman,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,1.05%,8349,Tonic Salesman,Claw Shot City    Prospector  ,1.05%
Coal Shoveller,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.97%,7745,Coal Shoveller,Claw Shot City    Prospector  ,0.97%
Farrier,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.94%,7472,Farrier,Claw Shot City    Prospector  ,0.94%
Pyrite,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.80%,6363,Pyrite,Claw Shot City    Prospector  ,0.80%
Bartender,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.67%,5373,Bartender,Claw Shot City    Prospector  ,0.67%
Outlaw,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.63%,5031,Outlaw,Claw Shot City    Prospector  ,0.63%
Desperado,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.52%,4119,Desperado,Claw Shot City    Prospector  ,0.52%
Cardshark,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.44%,3488,Cardshark,Claw Shot City    Prospector  ,0.44%
Undertaker,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.43%,3401,Undertaker,Claw Shot City    Prospector  ,0.43%
Stagecoach Driver,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.36%,2889,Stagecoach Driver,Claw Shot City    Prospector  ,0.36%
Circuit Judge,Claw Shot City,SB+/Gouda,,Prospector,Prospector,,,0.34%,2694,Circuit Judge,Claw Shot City    Prospector  ,0.34%
Ruffian,Claw Shot City,SB+/Gouda,,Not Prospector,,,,15.59%,133156,Ruffian,Claw Shot City      ,15.59%
Saloon Gal,Claw Shot City,SB+/Gouda,,Not Prospector,,,,15.57%,132935,Saloon Gal,Claw Shot City      ,15.57%
Shopkeeper,Claw Shot City,SB+/Gouda,,Not Prospector,,,,15.56%,132898,Shopkeeper,Claw Shot City      ,15.56%
Lasso Cowgirl,Claw Shot City,SB+/Gouda,,Not Prospector,,,,15.55%,132783,Lasso Cowgirl,Claw Shot City      ,15.55%
Tumbleweed,Claw Shot City,SB+/Gouda,,Not Prospector,,,,15.53%,132662,Tumbleweed,Claw Shot City      ,15.53%
Prospector,Claw Shot City,SB+/Gouda,,Not Prospector,,,,6.21%,53048,Prospector,Claw Shot City      ,6.21%
Bounty Hunter,Claw Shot City,SB+/Gouda,,Not Prospector,,,,3.56%,30373,Bounty Hunter,Claw Shot City      ,3.56%
Parlour Player,Claw Shot City,SB+/Gouda,,Not Prospector,,,,1.56%,13296,Parlour Player,Claw Shot City      ,1.56%
Pyrite,Claw Shot City,SB+/Gouda,,Not Prospector,,,,1.31%,11217,Pyrite,Claw Shot City      ,1.31%
Upper Class Lady,Claw Shot City,SB+/Gouda,,Not Prospector,,,,1.27%,10830,Upper Class Lady,Claw Shot City      ,1.27%
Stuffy Banker,Claw Shot City,SB+/Gouda,,Not Prospector,,,,1.19%,10166,Stuffy Banker,Claw Shot City      ,1.19%
Coal Shoveller,Claw Shot City,SB+/Gouda,,Not Prospector,,,,1.00%,8549,Coal Shoveller,Claw Shot City      ,1.00%
Farrier,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.96%,8171,Farrier,Claw Shot City      ,0.96%
Outlaw,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.76%,6469,Outlaw,Claw Shot City      ,0.76%
Bartender,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.70%,5945,Bartender,Claw Shot City      ,0.70%
Desperado,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.66%,5660,Desperado,Claw Shot City      ,0.66%
Cardshark,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.54%,4591,Cardshark,Claw Shot City      ,0.54%
Circuit Judge,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.43%,3646,Circuit Judge,Claw Shot City      ,0.43%
Stagecoach Driver,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.46%,3963,Stagecoach Driver,Claw Shot City      ,0.46%
Tonic Salesman,Claw Shot City,SB+/Gouda,,Not Prospector,,,,1.11%,9470,Tonic Salesman,Claw Shot City      ,1.11%
Undertaker,Claw Shot City,SB+/Gouda,,Not Prospector,,,,0.49%,4224,Undertaker,Claw Shot City      ,0.49%
Walker,Crystal Library,Gouda/Brie,,Not Scholar,,,,17.82%,27200,Walker,Crystal Library      ,17.82%
Pocketwatch,Crystal Library,Gouda/Brie,,Not Scholar,,,,18.79%,28674,Pocketwatch,Crystal Library      ,18.79%
Effervescent,Crystal Library,Gouda/Brie,,Not Scholar,,,,12.00%,18320,Effervescent,Crystal Library      ,12.00%
Infiltrator,Crystal Library,Gouda/Brie,,Not Scholar,,,,11.89%,18156,Infiltrator,Crystal Library      ,11.89%
Flutterby,Crystal Library,Gouda/Brie,,Not Scholar,,,,9.87%,15066,Flutterby,Crystal Library      ,9.87%
Steam Grip,Crystal Library,Gouda/Brie,,Not Scholar,,,,7.84%,11961,Steam Grip,Crystal Library      ,7.84%
Explorator,Crystal Library,Gouda/Brie,,Not Scholar,,,,7.89%,12044,Explorator,Crystal Library      ,7.89%
Scribe,Crystal Library,Gouda/Brie,,Not Scholar,,,,7.01%,10703,Scribe,Crystal Library      ,7.01%
Bookborn,Crystal Library,Gouda/Brie,,Not Scholar,,,,6.89%,10513,Bookborn,Crystal Library      ,6.89%
Pocketwatch,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,16.75%,1738,Pocketwatch,Crystal Library    Scholar (Charged)  ,16.75%
Walker,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,16.56%,1718,Walker,Crystal Library    Scholar (Charged)  ,16.56%
Effervescent,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,10.87%,1128,Effervescent,Crystal Library    Scholar (Charged)  ,10.87%
Infiltrator,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,10.78%,1119,Infiltrator,Crystal Library    Scholar (Charged)  ,10.78%
Flutterby,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,9.40%,975,Flutterby,Crystal Library    Scholar (Charged)  ,9.40%
Zurreal the Eternal,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,8.33%,864,Zurreal the Eternal,Crystal Library    Scholar (Charged)  ,8.33%
Explorator,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,7.42%,770,Explorator,Crystal Library    Scholar (Charged)  ,7.42%
Steam Grip,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,7.17%,744,Steam Grip,Crystal Library    Scholar (Charged)  ,7.17%
Bookborn,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,6.46%,670,Bookborn,Crystal Library    Scholar (Charged)  ,6.46%
Scribe,Crystal Library,Gouda/Brie,,Scholar,Scholar (Charged),,,6.26%,650,Scribe,Crystal Library    Scholar (Charged)  ,6.26%
Walker,Crystal Library,SB+,SB+,Not Scholar,,,,17.98%,23413,Walker,Crystal Library  SB+    ,17.98%
Pocketwatch,Crystal Library,SB+,SB+,Not Scholar,,,,13.88%,18072,Pocketwatch,Crystal Library  SB+    ,13.88%
Effervescent,Crystal Library,SB+,SB+,Not Scholar,,,,13.84%,18018,Effervescent,Crystal Library  SB+    ,13.84%
Infiltrator,Crystal Library,SB+,SB+,Not Scholar,,,,9.71%,12640,Infiltrator,Crystal Library  SB+    ,9.71%
Steam Grip,Crystal Library,SB+,SB+,Not Scholar,,,,7.90%,10278,Steam Grip,Crystal Library  SB+    ,7.90%
Explorator,Crystal Library,SB+,SB+,Not Scholar,,,,7.99%,10405,Explorator,Crystal Library  SB+    ,7.99%
Tome Sprite,Crystal Library,SB+,SB+,Not Scholar,,,,7.74%,10071,Tome Sprite,Crystal Library  SB+    ,7.74%
Scribe,Crystal Library,SB+,SB+,Not Scholar,,,,7.01%,9124,Scribe,Crystal Library  SB+    ,7.01%
Bookborn,Crystal Library,SB+,SB+,Not Scholar,,,,5.95%,7745,Bookborn,Crystal Library  SB+    ,5.95%
Flutterby,Crystal Library,SB+,SB+,Not Scholar,,,,5.92%,7713,Flutterby,Crystal Library  SB+    ,5.92%
Aether,Crystal Library,SB+,SB+,Not Scholar,,,,0.99%,1289,Aether,Crystal Library  SB+    ,0.99%
Crown Collector,Crystal Library,SB+,SB+,Not Scholar,,,,1.09%,1413,Crown Collector,Crystal Library  SB+    ,1.09%
Zurreal the Eternal,Crystal Library,SB+,SB+,Scholar,Scholar (Charged),,,15.72%,1762,Zurreal the Eternal,Crystal Library  SB+  Scholar (Charged)  ,15.72%
Walker,Crystal Library,SB+,SB+,Scholar,Scholar (Charged),,,14.86%,1666,Walker,Crystal Library  SB+  Scholar (Charged)  ,14.86%
Pocketwatch,Crystal Library,SB+,SB+,Scholar,Scholar (Charged),,,12.09%,1355,Pocketwatch,Crystal Library  SB+  Scholar (Charged)  ,12.09%
